IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
79.72.90.105,443,443,true,FRA,Europe,Frankfurt,227,8.20
146.56.154.116,443,443,true,SIN,Asia Pacific,Singapore,227,8.17
79.72.90.187,443,443,true,FRA,Europe,Frankfurt,197,8.15
79.72.72.214,443,443,true,FRA,Europe,Frankfurt,215,8.09
144.21.41.50,443,443,true,FRA,Europe,Frankfurt,171,8.03
146.235.210.182,2053,443,true,SJC,North America,San Jose,198,7.95
164.152.26.70,2052,443,true,ORD,North America,Chicago,221,7.95
158.178.147.155,443,443,true,FRA,Europe,Frankfurt,181,7.90
146.56.142.146,443,443,true,SIN,Asia Pacific,Singapore,208,7.89
130.162.177.2,443,443,true,FRA,Europe,Frankfurt,198,7.81
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,171,7.76
89.168.52.251,8443,443,true,CDG,Europe,Paris,188,7.75
143.47.235.203,443,443,true,FRA,Europe,Frankfurt,173,7.73
158.180.37.191,443,443,true,FRA,Europe,Frankfurt,268,7.70
150.230.47.17,443,443,true,SJC,North America,San Jose,225,7.67
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,181,7.66
193.123.228.101,443,443,true,SIN,Asia Pacific,Singapore,240,7.64
165.1.79.60,8443,443,true,SJC,North America,San Jose,205,7.62
192.18.140.32,443,443,true,SJC,North America,San Jose,203,7.59
130.162.159.4,443,443,true,SIN,Asia Pacific,Singapore,217,7.59
130.162.172.111,443,443,true,FRA,Europe,Frankfurt,172,7.56
158.178.144.166,443,443,true,FRA,Europe,Frankfurt,179,7.43
152.70.123.225,8443,443,true,SJC,North America,San Jose,214,7.40
150.230.119.55,443,443,true,FRA,Europe,Frankfurt,185,7.11
192.9.246.112,8443,443,true,SJC,North America,San Jose,212,7.11
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,193,7.11
158.178.153.228,443,443,true,FRA,Europe,Frankfurt,181,6.93
158.178.146.22,443,443,true,FRA,Europe,Frankfurt,181,6.88
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,164,6.88
150.230.125.157,443,443,true,FRA,Europe,Frankfurt,218,6.88
150.230.112.174,443,443,true,FRA,Europe,Frankfurt,174,6.79
141.145.199.188,443,443,true,CDG,Europe,Paris,190,6.54
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,196,6.53
146.235.199.98,443,443,true,SJC,North America,San Jose,218,6.52
158.178.157.230,443,443,true,FRA,Europe,Frankfurt,179,6.48
204.216.105.106,8443,8443,true,YUL,North America,Montréal,252,6.32
40.233.70.7,8443,443,true,YYZ,North America,Toronto,234,6.30
141.148.232.155,443,443,true,FRA,Europe,Frankfurt,195,6.27
141.147.117.100,443,443,true,FRA,Europe,Frankfurt,185,6.10
132.145.248.107,443,443,true,FRA,Europe,Frankfurt,167,6.10
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,172,6.09
143.47.243.144,8443,443,true,LHR,Europe,London,164,6.08
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,205,6.07
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,170,5.99
158.101.98.60,2095,443,true,IAD,North America,Ashburn,249,5.96
158.178.146.157,443,443,true,FRA,Europe,Frankfurt,177,5.91
131.186.33.118,443,443,true,NRT,Asia Pacific,Tokyo,72,5.89
138.2.122.191,443,443,true,ICN,Asia Pacific,Seoul,92,5.88
68.233.127.163,8443,443,true,YYZ,North America,Toronto,256,5.85
152.67.128.153,443,443,true,FRA,Europe,Frankfurt,303,5.80
164.152.26.70,2086,443,true,ORD,North America,Chicago,247,5.79
132.145.54.84,8443,443,true,LHR,Europe,London,162,5.79
144.21.49.136,443,443,true,FRA,Europe,Frankfurt,246,5.79
129.159.200.200,443,443,true,FRA,Europe,Frankfurt,186,5.76
138.3.222.135,443,443,true,NRT,Asia Pacific,Tokyo,70,5.74
152.70.50.189,443,443,true,FRA,Europe,Frankfurt,279,5.69
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,97,5.61
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,78,5.59
204.216.214.115,2095,443,true,CDG,Europe,Paris,268,5.55
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,69,5.53
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,65,5.52
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,119,5.52
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,224,5.49
143.47.243.144,2053,443,true,LHR,Europe,London,167,5.48
150.230.117.45,443,443,true,FRA,Europe,Frankfurt,185,5.47
152.70.155.147,443,443,true,LAX,North America,Los Angeles,203,5.45
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,82,5.37
159.13.46.42,443,443,true,SYD,Oceania,Sydney,107,5.35
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,111,5.34
150.136.241.40,8443,443,true,IAD,North America,Ashburn,249,5.33
132.145.54.84,2053,443,true,LHR,Europe,London,163,5.28
140.238.195.98,443,443,true,SYD,Oceania,Sydney,92,5.26
144.21.36.101,443,443,true,FRA,Europe,Frankfurt,287,5.19
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,104,5.16
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,207,4.90
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,235,4.89
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,4.86
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,125,4.84
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,179,4.83
140.83.61.244,443,443,true,HKG,Asia Pacific,Hong Kong,77,4.79
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,177,4.75
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,168,4.74
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,191,4.71
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,173,4.69
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,200,4.60
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,204,4.59
141.147.29.113,8443,443,true,FRA,Europe,Frankfurt,168,4.54
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,174,4.51
141.147.59.207,443,443,true,FRA,Europe,Frankfurt,171,4.51
152.67.249.123,443,443,true,SJC,North America,San Jose,205,4.49
192.9.250.241,443,443,true,SJC,North America,San Jose,197,4.48
89.168.43.31,8443,443,true,CDG,Europe,Paris,375,4.43
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,166,4.43
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,189,4.40
141.147.111.213,443,443,true,FRA,Europe,Frankfurt,291,4.39
129.159.47.255,443,443,true,SJC,North America,San Jose,199,4.32
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,166,4.28
192.18.148.248,443,443,true,YYZ,North America,Toronto,233,4.27
146.235.219.98,443,443,true,SJC,North America,San Jose,211,4.21
150.230.120.169,443,443,true,FRA,Europe,Frankfurt,209,4.20
